python main.py
$ python main.py
--- Running on DEVICE: cuda ---

======================================
 FOLD 1/8: Testing on Subject 1
======================================
Epoch 01 | Train Acc: 0.5370 | Test Acc: 0.6193 | Test F1: 0.5675                                                                                                              
Epoch 02 | Train Acc: 0.8942 | Test Acc: 0.7351 | Test F1: 0.7100                                                                                                              
Epoch 03 | Train Acc: 0.9440 | Test Acc: 0.7439 | Test F1: 0.7241                                                                                                              
Epoch 04 | Train Acc: 0.9708 | Test Acc: 0.7570 | Test F1: 0.7218                                                                                                              
Epoch 05 | Train Acc: 0.9758 | Test Acc: 0.7184 | Test F1: 0.6793                                                                                                              
Epoch 06 | Train Acc: 0.9831 | Test Acc: 0.8509 | Test F1: 0.8222                                                                                                              
Epoch 07 | Train Acc: 0.9861 | Test Acc: 0.7930 | Test F1: 0.7468                                                                                                              
Epoch 08 | Train Acc: 0.9858 | Test Acc: 0.7588 | Test F1: 0.7364                                                                                                              
Epoch 09 | Train Acc: 0.9866 | Test Acc: 0.7667 | Test F1: 0.7145                                                                                                              
Epoch 10 | Train Acc: 0.9896 | Test Acc: 0.7430 | Test F1: 0.6976                                                                                                              
Epoch 11 | Train Acc: 0.9907 | Test Acc: 0.8105 | Test F1: 0.7826                                                                                                              
Epoch 12 | Train Acc: 0.9880 | Test Acc: 0.7807 | Test F1: 0.7442                                                                                                              
Epoch 13 | Train Acc: 0.9897 | Test Acc: 0.7807 | Test F1: 0.7457                                                                                                              
Epoch 14 | Train Acc: 0.9919 | Test Acc: 0.7570 | Test F1: 0.7207                                                                                                              
Epoch 15 | Train Acc: 0.9930 | Test Acc: 0.7377 | Test F1: 0.7025                                                                                                              
Epoch 16 | Train Acc: 0.9926 | Test Acc: 0.7860 | Test F1: 0.7440                                                                                                              
Epoch 17 | Train Acc: 0.9935 | Test Acc: 0.7237 | Test F1: 0.6790                                                                                                              
Epoch 18 | Train Acc: 0.9905 | Test Acc: 0.7939 | Test F1: 0.7468                                                                                                              
Epoch 19 | Train Acc: 0.9945 | Test Acc: 0.8491 | Test F1: 0.8122                                                                                                              
Epoch 20 | Train Acc: 0.9949 | Test Acc: 0.8246 | Test F1: 0.7844                                                                                                              
Epoch 21 | Train Acc: 0.9911 | Test Acc: 0.8202 | Test F1: 0.7925                                                                                                              
Epoch 22 | Train Acc: 0.9930 | Test Acc: 0.8368 | Test F1: 0.8085                                                                                                              
Epoch 23 | Train Acc: 0.9952 | Test Acc: 0.8096 | Test F1: 0.7681                                                                                                              
Epoch 24 | Train Acc: 0.9961 | Test Acc: 0.8026 | Test F1: 0.7558                                                                                                              
Epoch 25 | Train Acc: 0.9952 | Test Acc: 0.8088 | Test F1: 0.7711                                                                                                              
Epoch 26 | Train Acc: 0.9959 | Test Acc: 0.7965 | Test F1: 0.7687                                                                                                              
Epoch 27 | Train Acc: 0.9951 | Test Acc: 0.7263 | Test F1: 0.6901                                                                                                              
Epoch 28 | Train Acc: 0.9954 | Test Acc: 0.8649 | Test F1: 0.8465                                                                                                              
Epoch 29 | Train Acc: 0.9967 | Test Acc: 0.7833 | Test F1: 0.7580                                                                                                              
Epoch 30 | Train Acc: 0.9960 | Test Acc: 0.7439 | Test F1: 0.6940                                                                                                              
Epoch 31 | Train Acc: 0.9927 | Test Acc: 0.7965 | Test F1: 0.7510                                                                                                              
Epoch 32 | Train Acc: 0.9932 | Test Acc: 0.7904 | Test F1: 0.7484                                                                                                              
Epoch 33 | Train Acc: 0.9896 | Test Acc: 0.7298 | Test F1: 0.6790                                                                                                              
Epoch 34 | Train Acc: 0.9964 | Test Acc: 0.8044 | Test F1: 0.7554                                                                                                              
Epoch 35 | Train Acc: 0.9970 | Test Acc: 0.7465 | Test F1: 0.6968                                                                                                              
Epoch 36 | Train Acc: 0.9977 | Test Acc: 0.7728 | Test F1: 0.7289                                                                                                              
Epoch 37 | Train Acc: 0.9969 | Test Acc: 0.7623 | Test F1: 0.7152                                                                                                              
Epoch 38 | Train Acc: 0.9959 | Test Acc: 0.7193 | Test F1: 0.6699                                                                                                              
Epoch 39 | Train Acc: 0.9975 | Test Acc: 0.7781 | Test F1: 0.7405                                                                                                              
Epoch 40 | Train Acc: 0.9977 | Test Acc: 0.7649 | Test F1: 0.7312                                                                                                              
-> Best for Subject 1: Acc = 0.8649, F1 = 0.8465

======================================
 FOLD 2/8: Testing on Subject 2
======================================
Epoch 01 | Train Acc: 0.5563 | Test Acc: 0.6596 | Test F1: 0.6266                                                                                                              
Epoch 02 | Train Acc: 0.8852 | Test Acc: 0.8026 | Test F1: 0.7724                                                                                                              
Epoch 03 | Train Acc: 0.9510 | Test Acc: 0.8140 | Test F1: 0.7821                                                                                                              
